	Name	M1	M1_atom_number	M2	M2_atom_number	M3	M3_atom_number	Support 	Support_ID	M2_mol	M3_mol	M1_mol%	M2_mol%	M3_mol%	Temp	Total_flow	Ar_flow	CH4_flow	O2_flow	CT	CH4/O2	CH4_conv	C2y	C2H6y	C2H4y	COy	CO2y	C2s	C2H6s	C2H4s	COs	CO2s	BET_surface_area	rate_constant	radii_M1	radii_M2	radii_M3	chi_M1	chi_M2	chi_M3
0	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	1.5	5.7	2.8	0.75	2	36.28	5.86	0.68	5.18	30.82	6.01	16.15	1.87	14.28	84.95	16.57	5.2	0.08051620002012684	1.39	1.66	1.62	1.55	0.93	1.7
1	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	2.3	8.5	4.3	0.5	2	37.04	6.29	0.7	5.59	31.29	5.76	16.98	1.89	15.09	84.48	15.55	5.2	0.12993055770471815	1.39	1.66	1.62	1.55	0.93	1.7
2	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	3.0	11.3	5.7	0.38	2	26.83	5.34	0.55	4.79	21.62	3.12	19.9	2.05	17.85	80.58	11.63	5.2	0.14441753028944593	1.39	1.66	1.62	1.55	0.93	1.7
3	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	1.5	6.4	2.1	0.75	3	24.47	6.16	0.62	5.54	22.49	3.0	25.17	2.53	22.64	91.91	12.26	5.2	0.08477197552382844	1.39	1.66	1.62	1.55	0.93	1.7
4	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	2.3	9.6	3.2	0.5	3	24.03	6.54	0.65	5.89	22.34	2.86	27.22	2.7	24.51	92.97	11.9	5.2	0.13527329743162253	1.39	1.66	1.62	1.55	0.93	1.7
5	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	3.0	12.8	4.3	0.38	3	18.85	5.39	0.49	4.9	17.33	1.95	28.59	2.6	25.99	91.94	10.34	5.2	0.1458079138729959	1.39	1.66	1.62	1.55	0.93	1.7
6	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	1.5	6.8	1.7	0.75	4	18.44	6.06	0.56	5.5	17.03	1.84	32.86	3.04	29.83	92.35	9.98	5.2	0.08335187385232308	1.39	1.66	1.62	1.55	0.93	1.7
7	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	2.3	10.2	2.6	0.5	4	26.01	6.77	0.66	6.11	17.45	1.78	26.03	2.54	23.49	67.09	6.84	5.2	0.14020125535897815	1.39	1.66	1.62	1.55	0.93	1.7
8	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	3.0	13.6	3.4	0.38	4	13.63	4.96	0.46	4.5	12.09	1.01	36.39	3.37	33.02	88.7	7.41	5.2	0.1338745536151488	1.39	1.66	1.62	1.55	0.93	1.7
9	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	1.5	7.3	1.2	0.75	6	18.4	5.63	0.56	5.07	11.85	0.92	30.6	3.04	27.55	64.4	5.0	5.2	0.07726261327313298	1.39	1.66	1.62	1.55	0.93	1.7
10	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	2.3	10.9	1.8	0.5	6	11.86	5.97	0.65	5.32	11.46	0.87	50.34	5.48	44.86	96.63	7.34	5.2	0.12311261139821161	1.39	1.66	1.62	1.55	0.93	1.7
11	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	3.0	14.6	2.4	0.38	6	37.22	5.02	0.64	4.38	32.58	5.85	13.49	1.72	11.77	87.53	15.72	5.2	0.13553642859767265	1.39	1.66	1.62	1.55	0.93	1.7
12	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	4.0	4.0	2.0	0.75	2	37.29	5.66	0.68	4.98	32.66	5.38	15.18	1.82	13.35	87.58	14.43	5.2	0.07768654417596765	1.39	1.66	1.62	1.55	0.93	1.7
13	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	6.0	6.0	3.0	0.5	2	38.05	6.03	0.74	5.29	32.5	5.21	15.85	1.94	13.9	85.41	13.69	5.2	0.12438920718623556	1.39	1.66	1.62	1.55	0.93	1.7
14	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	8.0	8.0	4.0	0.38	2	27.41	5.17	0.58	4.59	22.79	2.88	18.86	2.12	16.75	83.14	10.51	5.2	0.13969571340119813	1.39	1.66	1.62	1.55	0.93	1.7
15	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	4.0	4.5	1.5	0.75	3	27.28	5.85	0.65	5.2	22.55	2.68	21.44	2.38	19.06	82.66	9.82	5.2	0.08037457451323993	1.39	1.66	1.62	1.55	0.93	1.7
16	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	6.0	6.8	2.3	0.5	3	26.98	6.25	0.65	5.6	22.38	2.62	23.17	2.41	20.76	82.95	9.71	5.2	0.12907704227514236	1.39	1.66	1.62	1.55	0.93	1.7
17	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	8.0	9.0	3.0	0.38	3	20.95	5.06	0.52	4.54	17.64	1.82	24.15	2.48	21.67	84.2	8.69	5.2	0.13664492859189306	1.39	1.66	1.62	1.55	0.93	1.7
18	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	4.0	4.8	1.2	0.75	4	20.64	5.7	0.62	5.08	17.44	1.69	27.62	3.0	24.61	84.5	8.19	5.2	0.07825199513157281	1.39	1.66	1.62	1.55	0.93	1.7
19	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	6.0	7.2	1.8	0.5	4	20.88	6.14	0.66	5.48	17.15	1.67	29.41	3.16	26.25	82.14	8.0	5.2	0.12673175124363956	1.39	1.66	1.62	1.55	0.93	1.7
20	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	8.0	9.6	2.4	0.38	4	14.1	4.62	0.47	4.15	12.16	0.91	32.77	3.33	29.43	86.24	6.45	5.2	0.12447703452108709	1.39	1.66	1.62	1.55	0.93	1.7
21	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	4.0	5.1	0.9	0.75	6	13.5	5.2	0.56	4.64	12.06	0.89	38.52	4.15	34.37	89.33	6.59	5.2	0.07120103563615372	1.39	1.66	1.62	1.55	0.93	1.7
22	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	6.0	7.7	1.3	0.5	6	14.1	5.49	0.67	4.82	11.82	0.86	38.94	4.75	34.18	83.83	6.1	5.2	0.11292907396225316	1.39	1.66	1.62	1.55	0.93	1.7
23	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	8.0	10.3	1.7	0.38	6	42.41	4.33	0.61	3.72	33.69	4.99	10.21	1.44	8.77	79.44	11.77	5.2	0.1164879376263564	1.39	1.66	1.62	1.55	0.93	1.7
24	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	7.0	2.0	1.0	0.75	2	44.15	4.62	0.6	4.02	32.66	4.76	10.46	1.36	9.11	73.98	10.78	5.2	0.0630683641573508	1.39	1.66	1.62	1.55	0.93	1.7
25	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	10.5	3.0	1.5	0.5	2	42.12	5.11	0.67	4.44	32.92	4.99	12.13	1.59	10.54	78.16	11.85	5.2	0.10490372000484847	1.39	1.66	1.62	1.55	0.93	1.7
26	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	14.0	4.0	2.0	0.38	2	30.4	4.61	0.62	3.99	24.26	2.76	15.16	2.04	13.13	79.8	9.08	5.2	0.12420114429203867	1.39	1.66	1.62	1.55	0.93	1.7
27	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	7.0	2.3	0.8	0.75	3	29.85	5.03	0.57	4.46	23.99	2.58	16.85	1.91	14.94	80.37	8.64	5.2	0.06881217831097365	1.39	1.66	1.62	1.55	0.93	1.7
28	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	15	10.5	3.4	1.1	0.5	3	30.09	5.6	0.73	4.87	23.19	2.46	18.61	2.43	16.18	77.07	8.18	5.2	0.11525822567327283	1.39	1.66	1.62	1.55	0.93	1.7
29	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	20	14.0	4.5	1.5	0.38	3	25.63	4.46	0.54	3.92	18.83	1.66	17.4	2.11	15.29	73.47	6.48	5.2	0.12006625796388304	1.39	1.66	1.62	1.55	0.93	1.7
30	Mn-Na2WO4/BN	Mn	25	Na	11	W	74	BN	4	0.37	0.185	40	40	20	900	10	7.0	2.4	0.6	0.75	4	25.18	5.22	0.64	4.58	17.78	1.49	20.73	2.54	18.19	70.61	5.92	5.2	0.07148235926486554	1.39	1.66	1.62	1.55	0.93	1.7
